Group;Male;Female
0 to 4 years;973035;925760
5 to 9 years;1034690;983440
10 to 14 years;985200;937445
15 to 19 years;1039215;986940
20 to 24 years;1144495;1098200
25 to 29 years;1144475;1141515
30 to 34 years;1148290;1181105
35 to 39 years;1118635;1169730
40 to 44 years;1104445;1150695
45 to 49 years;1157755;1202205
50 to 54 years;1318755;1359320
55 to 59 years;1285190;1335055
60 to 64 years;1114880;1175630
65 to 69 years;953070;1019405
70 to 74 years;677970;742900
75 to 79 years;469550;552300
80 to 84 years;325765;423885
85 to 89 years;185535;296990
90 to 94 years;68675;154830
95 to 99 years;13245;43280
100 years and over;1340;6890
